filename,replication_factor,consistency,num_keys,threads,total_errors,consistency_passed,violations
fuzz_rf3_strong_keys20_threads128.log,3,strong,20,128,0,True,0
fuzz_rf3_strong_keys20_threads16.log,3,strong,20,16,0,True,0
fuzz_rf3_strong_keys20_threads2.log,3,strong,20,2,0,True,0
fuzz_rf3_strong_keys20_threads256.log,3,strong,20,256,0,True,0
fuzz_rf3_strong_keys20_threads32.log,3,strong,20,32,0,True,0
fuzz_rf3_strong_keys20_threads4.log,3,strong,20,4,0,True,0
fuzz_rf3_strong_keys20_threads64.log,3,strong,20,64,0,True,0
fuzz_rf3_strong_keys20_threads8.log,3,strong,20,8,0,True,0
fuzz_rf3_strong_keys60_threads1.log,3,strong,60,1,0,True,0
fuzz_rf3_strong_keys60_threads128.log,3,strong,60,128,0,True,0
fuzz_rf3_strong_keys60_threads16.log,3,strong,60,16,0,True,0
fuzz_rf3_strong_keys60_threads2.log,3,strong,60,2,0,True,0
fuzz_rf3_strong_keys60_threads256.log,3,strong,60,256,0,True,0
fuzz_rf3_strong_keys60_threads32.log,3,strong,60,32,0,True,0
fuzz_rf3_strong_keys60_threads4.log,3,strong,60,4,0,True,0
fuzz_rf3_strong_keys60_threads64.log,3,strong,60,64,0,True,0
fuzz_rf3_strong_keys60_threads8.log,3,strong,60,8,0,True,0
fuzz_rf3_weak_keys100_threads1.log,3,weak,100,1,0,True,0
fuzz_rf3_weak_keys100_threads128.log,3,weak,100,128,0,True,0
fuzz_rf3_weak_keys100_threads16.log,3,weak,100,16,0,True,0
fuzz_rf3_weak_keys100_threads2.log,3,weak,100,2,0,True,0
fuzz_rf3_weak_keys100_threads256.log,3,weak,100,256,0,True,0
fuzz_rf3_weak_keys100_threads32.log,3,weak,100,32,0,True,0
fuzz_rf3_weak_keys100_threads4.log,3,weak,100,4,0,True,0
fuzz_rf3_weak_keys100_threads64.log,3,weak,100,64,0,True,0
fuzz_rf3_weak_keys100_threads8.log,3,weak,100,8,0,True,0
fuzz_rf3_weak_keys140_threads1.log,3,weak,140,1,0,True,0
fuzz_rf3_weak_keys140_threads128.log,3,weak,140,128,0,True,0
fuzz_rf3_weak_keys140_threads16.log,3,weak,140,16,0,True,0
fuzz_rf3_weak_keys140_threads2.log,3,weak,140,2,0,True,0
fuzz_rf3_weak_keys140_threads256.log,3,weak,140,256,0,True,0
fuzz_rf3_weak_keys140_threads32.log,3,weak,140,32,0,True,0
fuzz_rf3_weak_keys140_threads4.log,3,weak,140,4,0,True,0
fuzz_rf3_weak_keys140_threads64.log,3,weak,140,64,0,True,0
fuzz_rf3_weak_keys140_threads8.log,3,weak,140,8,0,True,0
fuzz_rf3_weak_keys20_threads1.log,3,weak,20,1,0,True,0
fuzz_rf3_weak_keys20_threads128.log,3,weak,20,128,0,True,0
fuzz_rf3_weak_keys20_threads16.log,3,weak,20,16,0,True,0
fuzz_rf3_weak_keys20_threads2.log,3,weak,20,2,0,True,0
fuzz_rf3_weak_keys20_threads256.log,3,weak,20,256,0,True,0
fuzz_rf3_weak_keys20_threads32.log,3,weak,20,32,0,True,0
fuzz_rf3_weak_keys20_threads4.log,3,weak,20,4,0,True,0
fuzz_rf3_weak_keys20_threads64.log,3,weak,20,64,0,True,0
fuzz_rf3_weak_keys20_threads8.log,3,weak,20,8,0,True,0
fuzz_rf3_weak_keys60_threads1.log,3,weak,60,1,0,True,0
fuzz_rf3_weak_keys60_threads128.log,3,weak,60,128,0,True,0
fuzz_rf3_weak_keys60_threads16.log,3,weak,60,16,0,True,0
fuzz_rf3_weak_keys60_threads2.log,3,weak,60,2,0,True,0
fuzz_rf3_weak_keys60_threads256.log,3,weak,60,256,0,True,0
fuzz_rf3_weak_keys60_threads32.log,3,weak,60,32,0,True,0
fuzz_rf3_weak_keys60_threads4.log,3,weak,60,4,0,True,0
fuzz_rf3_weak_keys60_threads64.log,3,weak,60,64,0,True,0
fuzz_rf3_weak_keys60_threads8.log,3,weak,60,8,0,True,0
fuzz_rf5_linearizable_keys100_threads1.log,5,linearizable,100,1,0,True,0
fuzz_rf5_linearizable_keys100_threads128.log,5,linearizable,100,128,0,True,0
fuzz_rf5_linearizable_keys100_threads16.log,5,linearizable,100,16,0,True,0
fuzz_rf5_linearizable_keys100_threads2.log,5,linearizable,100,2,0,True,0
fuzz_rf5_linearizable_keys100_threads256.log,5,linearizable,100,256,0,True,0
fuzz_rf5_linearizable_keys100_threads32.log,5,linearizable,100,32,0,True,0
fuzz_rf5_linearizable_keys100_threads4.log,5,linearizable,100,4,0,True,0
fuzz_rf5_linearizable_keys100_threads64.log,5,linearizable,100,64,0,True,0
fuzz_rf5_linearizable_keys100_threads8.log,5,linearizable,100,8,0,True,0
fuzz_rf5_linearizable_keys140_threads1.log,5,linearizable,140,1,0,True,0
fuzz_rf5_linearizable_keys140_threads128.log,5,linearizable,140,128,0,True,0
fuzz_rf5_linearizable_keys140_threads16.log,5,linearizable,140,16,0,True,0
fuzz_rf5_linearizable_keys140_threads2.log,5,linearizable,140,2,0,True,0
fuzz_rf5_linearizable_keys140_threads256.log,5,linearizable,140,256,0,True,0
fuzz_rf5_linearizable_keys140_threads32.log,5,linearizable,140,32,0,True,0
fuzz_rf5_linearizable_keys140_threads4.log,5,linearizable,140,4,0,True,0
fuzz_rf5_linearizable_keys140_threads64.log,5,linearizable,140,64,0,True,0
fuzz_rf5_linearizable_keys140_threads8.log,5,linearizable,140,8,0,True,0
fuzz_rf5_linearizable_keys20_threads1.log,5,linearizable,20,1,0,True,0
fuzz_rf5_linearizable_keys20_threads128.log,5,linearizable,20,128,0,True,0
fuzz_rf5_linearizable_keys20_threads16.log,5,linearizable,20,16,0,True,0
fuzz_rf5_linearizable_keys20_threads2.log,5,linearizable,20,2,0,True,0
fuzz_rf5_linearizable_keys20_threads256.log,5,linearizable,20,256,0,True,0
fuzz_rf5_linearizable_keys20_threads32.log,5,linearizable,20,32,0,True,0
fuzz_rf5_linearizable_keys20_threads4.log,5,linearizable,20,4,0,True,0
fuzz_rf5_linearizable_keys20_threads64.log,5,linearizable,20,64,0,True,0
fuzz_rf5_linearizable_keys20_threads8.log,5,linearizable,20,8,0,True,0
fuzz_rf5_linearizable_keys60_threads1.log,5,linearizable,60,1,0,True,0
fuzz_rf5_linearizable_keys60_threads128.log,5,linearizable,60,128,0,True,0
fuzz_rf5_linearizable_keys60_threads16.log,5,linearizable,60,16,0,True,0
fuzz_rf5_linearizable_keys60_threads2.log,5,linearizable,60,2,0,True,0
fuzz_rf5_linearizable_keys60_threads256.log,5,linearizable,60,256,0,True,0
fuzz_rf5_linearizable_keys60_threads32.log,5,linearizable,60,32,0,True,0
fuzz_rf5_linearizable_keys60_threads4.log,5,linearizable,60,4,0,True,0
fuzz_rf5_linearizable_keys60_threads64.log,5,linearizable,60,64,0,True,0
fuzz_rf5_linearizable_keys60_threads8.log,5,linearizable,60,8,0,True,0
fuzz_rf5_none_keys100_threads1.log,5,none,100,1,0,False,13
fuzz_rf5_none_keys100_threads128.log,5,none,100,128,0,False,86788
fuzz_rf5_none_keys100_threads16.log,5,none,100,16,0,False,1973
fuzz_rf5_none_keys100_threads2.log,5,none,100,2,0,False,27
fuzz_rf5_none_keys100_threads256.log,5,none,100,256,0,False,175821
fuzz_rf5_none_keys100_threads32.log,5,none,100,32,0,False,6473
fuzz_rf5_none_keys100_threads4.log,5,none,100,4,0,False,105
fuzz_rf5_none_keys100_threads64.log,5,none,100,64,0,False,31399
fuzz_rf5_none_keys100_threads8.log,5,none,100,8,0,False,223
fuzz_rf5_none_keys140_threads1.log,5,none,140,1,0,False,5
fuzz_rf5_none_keys140_threads128.log,5,none,140,128,0,False,94320
fuzz_rf5_none_keys140_threads16.log,5,none,140,16,0,False,1653
fuzz_rf5_none_keys140_threads2.log,5,none,140,2,0,False,24
fuzz_rf5_none_keys140_threads256.log,5,none,140,256,0,False,177527
fuzz_rf5_none_keys140_threads32.log,5,none,140,32,0,False,5944
fuzz_rf5_none_keys140_threads4.log,5,none,140,4,0,False,76
fuzz_rf5_none_keys140_threads64.log,5,none,140,64,0,False,19189
fuzz_rf5_none_keys140_threads8.log,5,none,140,8,0,False,225
fuzz_rf5_none_keys20_threads1.log,5,none,20,1,0,False,66
fuzz_rf5_none_keys20_threads128.log,5,none,20,128,0,False,101696
fuzz_rf5_none_keys20_threads16.log,5,none,20,16,0,False,4374
fuzz_rf5_none_keys20_threads2.log,5,none,20,2,0,False,145
fuzz_rf5_none_keys20_threads256.log,5,none,20,256,0,False,154756
fuzz_rf5_none_keys20_threads32.log,5,none,20,32,0,False,17035
fuzz_rf5_none_keys20_threads4.log,5,none,20,4,0,False,352
fuzz_rf5_none_keys20_threads64.log,5,none,20,64,0,False,48741
fuzz_rf5_none_keys20_threads8.log,5,none,20,8,0,False,1162
fuzz_rf5_none_keys60_threads1.log,5,none,60,1,0,False,20
fuzz_rf5_none_keys60_threads128.log,5,none,60,128,0,False,94645
fuzz_rf5_none_keys60_threads16.log,5,none,60,16,0,False,2303
fuzz_rf5_none_keys60_threads2.log,5,none,60,2,0,False,56
fuzz_rf5_none_keys60_threads256.log,5,none,60,256,0,False,154832
fuzz_rf5_none_keys60_threads32.log,5,none,60,32,0,False,11318
fuzz_rf5_none_keys60_threads4.log,5,none,60,4,0,False,144
fuzz_rf5_none_keys60_threads64.log,5,none,60,64,0,False,28752
fuzz_rf5_none_keys60_threads8.log,5,none,60,8,0,False,561
fuzz_rf5_strong_keys100_threads1.log,5,strong,100,1,0,True,0
fuzz_rf5_strong_keys100_threads128.log,5,strong,100,128,0,True,0
fuzz_rf5_strong_keys100_threads16.log,5,strong,100,16,0,True,0
fuzz_rf5_strong_keys100_threads2.log,5,strong,100,2,0,True,0
fuzz_rf5_strong_keys100_threads256.log,5,strong,100,256,0,True,0
fuzz_rf5_strong_keys100_threads32.log,5,strong,100,32,0,True,0
