filename,replication_factor,consistency,workload,threads,overall_runtime_ms,overall_throughput_ops_sec,read_operations,read_averagelatency_us,read_minlatency_us,read_maxlatency_us,read_95thpercentilelatency_us,read_99thpercentilelatency_us,update_operations,update_averagelatency_us,update_minlatency_us,update_maxlatency_us,update_95thpercentilelatency_us,update_99thpercentilelatency_us,cleanup_operations,cleanup_averagelatency_us,cleanup_minlatency_us,cleanup_maxlatency_us,cleanup_95thpercentilelatency_us,cleanup_99thpercentilelatency_us,insert_operations,insert_averagelatency_us,insert_minlatency_us,insert_maxlatency_us,insert_95thpercentilelatency_us,insert_99thpercentilelatency_us,scan_operations,scan_averagelatency_us,scan_minlatency_us,scan_maxlatency_us,scan_95thpercentilelatency_us,scan_99thpercentilelatency_us,read_modify_write_operations,read_modify_write_averagelatency_us,read_modify_write_minlatency_us,read_modify_write_maxlatency_us,read_modify_write_95thpercentilelatency_us,read_modify_write_99thpercentilelatency_us
ycsb_rf1_linearizable_workloadf_threads16.log,1,linearizable,f,16,656.0,1524.3902439024391,1000.0,5175.98,287.0,175231.0,7983.0,171007.0,513.0,1621.3567251461989,383.0,18751.0,2883.0,11831.0,16.0,0.125,0.0,2.0,0.0,2.0,,,,,,,,,,,,,513.0,6273.769980506822,673.0,188671.0,9727.0,186879.0
ycsb_rf1_linearizable_workloadf_threads2.log,1,linearizable,f,2,783.0,1277.139208173691,1000.0,770.617,267.0,84671.0,946.0,1884.0,495.0,622.0323232323233,341.0,2797.0,1087.0,1628.0,2.0,0.5,0.0,1.0,1.0,1.0,,,,,,,,,,,,,495.0,1322.1050505050505,645.0,51967.0,1802.0,3237.0
ycsb_rf1_linearizable_workloadf_threads256.log,1,linearizable,f,256,1349.0,741.2898443291327,1000.0,171458.157,612.0,540159.0,502783.0,520191.0,499.0,16843.420841683368,547.0,74751.0,58911.0,66175.0,256.0,0.01953125,0.0,2.0,0.0,1.0,,,,,,,,,,,,,499.0,193261.2885771543,1594.0,591359.0,564735.0,580607.0
ycsb_rf1_linearizable_workloadf_threads32.log,1,linearizable,f,32,762.0,1312.3359580052493,1000.0,12036.699,361.0,199679.0,39455.0,195583.0,499.0,2423.440881763527,439.0,40191.0,4139.0,38015.0,32.0,0.0625,0.0,2.0,0.0,2.0,,,,,,,,,,,,,499.0,13640.735470941883,826.0,245119.0,40223.0,241151.0
ycsb_rf1_linearizable_workloadf_threads4.log,1,linearizable,f,4,627.0,1594.896331738437,1000.0,1075.268,258.0,87615.0,1274.0,3045.0,458.0,841.8711790393013,366.0,36351.0,1336.0,2555.0,4.0,0.25,0.0,1.0,1.0,1.0,,,,,,,,,,,,,458.0,1869.3144104803494,653.0,96831.0,2401.0,5515.0
ycsb_rf1_linearizable_workloadf_threads64.log,1,linearizable,f,64,891.0,1122.334455667789,1000.0,27897.951,388.0,256255.0,239871.0,251647.0,490.0,4887.051020408163,434.0,61855.0,46527.0,52255.0,64.0,0.015625,0.0,1.0,0.0,0.0,,,,,,,,,,,,,490.0,35303.57551020408,842.0,325119.0,300287.0,310271.0
ycsb_rf1_linearizable_workloadf_threads8.log,1,linearizable,f,8,596.0,1677.8523489932886,1000.0,2165.058,342.0,134143.0,2597.0,9671.0,493.0,1068.0101419878297,457.0,7767.0,1919.0,5115.0,8.0,0.125,0.0,1.0,1.0,1.0,,,,,,,,,,,,,493.0,3063.78093306288,823.0,149247.0,4211.0,13047.0
ycsb_rf1_none_workloada_threads1.log,1,none,a,1,852.0,1173.7089201877934,483.0,643.6107660455486,289.0,64959.0,956.0,1685.0,517.0,592.6382978723404,394.0,2627.0,1026.0,1456.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_none_workloada_threads128.log,1,none,a,128,899.0,1112.3470522803113,507.0,62559.64102564102,596.0,319231.0,302591.0,315903.0,493.0,45140.991886409734,658.0,314111.0,296191.0,309503.0,128.0,0.0078125,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_none_workloada_threads16.log,1,none,a,16,582.0,1718.213058419244,539.0,5147.816326530612,336.0,159743.0,8807.0,156159.0,461.0,4190.132321041215,418.0,159999.0,8335.0,155519.0,16.0,0.0625,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_none_workloada_threads2.log,1,none,a,2,648.0,1543.20987654321,511.0,735.6908023483365,307.0,79551.0,1259.0,1780.0,489.0,851.721881390593,407.0,79103.0,1312.0,1950.0,2.0,0.5,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_none_workloada_threads256.log,1,none,a,256,1194.0,837.5209380234506,479.0,160644.58246346554,511.0,520703.0,501503.0,514559.0,521.0,131963.3339731286,666.0,517887.0,500223.0,512767.0,256.0,0.01171875,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_none_workloada_threads32.log,1,none,a,32,680.0,1470.5882352941176,477.0,11460.069182389938,449.0,192895.0,37151.0,188287.0,523.0,9539.684512428299,540.0,191615.0,35583.0,189567.0,32.0,0.03125,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_none_workloada_threads4.log,1,none,a,4,598.0,1672.2408026755852,519.0,979.6724470134875,300.0,67391.0,1411.0,4891.0,481.0,1847.2931392931393,391.0,83839.0,1912.0,67455.0,4.0,0.25,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_none_workloada_threads64.log,1,none,a,64,728.0,1373.6263736263736,512.0,26930.44921875,508.0,239871.0,223359.0,236031.0,488.0,18943.75,544.0,236159.0,220543.0,232959.0,64.0,0.015625,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_none_workloada_threads8.log,1,none,a,8,536.0,1865.6716417910447,478.0,1671.1652719665271,394.0,128447.0,3205.0,6319.0,522.0,2714.4865900383143,490.0,127935.0,3555.0,125439.0,8.0,0.125,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
